master_id,season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,prod_code
90_6_4_1994-10-13_604,6,4,90,The Chinese Woman,Andy Ackerman,Peter Mehlman,1994-10-13,604
91_6_5_1994-10-27_605,6,5,91,The Couch,Andy Ackerman,Larry David,1994-10-27,605
92_6_6_1994-11-03_606,6,6,92,The Gymnast,Andy Ackerman,Alec Berg & Jeff Schaffer,1994-11-03,606
93_6_7_1994-11-10_608,6,7,93,The Soup,Andy Ackerman,Fred Stoller,1994-11-10,608
94_6_8_1994-11-17_607,6,8,94,The Mom and Pop Store,Andy Ackerman,Tom Gammill & Max Pross,1994-11-17,607
95_6_9_1994-12-08_609,6,9,95,The Secretary,David Owen Trainor,Carol Leifer & Marjorie Gross,1994-12-08,609
96_6_10_1994-12-15_612,6,10,96,The Race,Andy Ackerman,Story by: Tom Gammill & Max Pross and Larry David & Sam Kass Teleplay by: Tom Gammill & Max Pross and Larry David,1994-12-15,612
97_6_11_1995-01-05_610,6,11,97,The Switch,Andy Ackerman,Bruce Kirschbaum and Sam Kass,1995-01-05,610
98_6_12_1995-01-19_611,6,12,98,The Label Maker,Andy Ackerman,Alec Berg & Jeff Schaffer,1995-01-19,611
99_6_13_1995-01-26_613,6,13,99,The Scofflaw,Andy Ackerman,Peter Mehlman,1995-01-26,613
100_6_14_1995-02-02_623,6,14,100,Highlights of a Hundred (1),Andy Ackerman,Peter Mehlman,1995-02-02,623
101_6_15_1995-02-02_624,6,15,101,Highlights of a Hundred (2),Andy Ackerman,Peter Mehlman,1995-02-02,624
102_6_16_1995-02-09_615,6,16,102,The Beard,Andy Ackerman,Carol Leifer,1995-02-09,615
103_6_17_1995-02-16_614,6,17,103,The Kiss Hello,Andy Ackerman,Larry David & Jerry Seinfeld,1995-02-16,614
104_6_18_1995-02-23_616,6,18,104,The Doorman,Andy Ackerman,Tom Gammill & Max Pross,1995-02-23,616
105_6_19_1995-03-16_617,6,19,105,The Jimmy,Andy Ackerman,Gregg Kavet & Andy Robin,1995-03-16,617
106_6_20_1995-04-06_618,6,20,106,The Doodle,Andy Ackerman,Alec Berg & Jeff Schaffer,1995-04-06,618
